id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
178,Estimating the stormwater attenuation benefits derived from planting four monoculture species of deciduous trees on vacant and underutilized urban land parcels,"Kirnbauer, M. C.; Baetz, B. W.; Kenney, W. A.",URBAN FORESTRY & URBAN GREENING,2013,,,,,,,,,,,,,,,,,,,,
179,Using Geospatial Tools to Assess the Urban Tree Canopy: Decision Support for Local Governments,"McGee, John A., III; Day, Susan D.; Wynne, Randolph H.; White, M. Barbara",JOURNAL OF FORESTRY,2012,,,,,,,,,,,,,,,,,,,,
180,Chile's experience with developing abalone (Haliotis spp.) farming: opportunities and challenges,"Enriquez, R.; Villagran, R.",REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,2008,,,,,,,,,,,,,,,,,,,,
181,"Spatio-temporal assessment of urbanization impacts on ecosystem services: Case study of Nanjing City, China","Li, Baojie; Chen, Dongxiang; Wu, Shaohua; Zhou, Shenglu; Wang, Teng; Chen, Hao",ECOLOGICAL INDICATORS,2016,,,,,,,,,,,,,,,,,,,,
182,"A tale of two rain gardens: Barriers and bridges to adaptive management of urban stormwater in Cleveland, Ohio","Chaffin, Brian C.; Shuster, William D.; Garmestani, Ahjond S.; Furio, Brooke; Albro, Sandra L.; Gardiner, Mary; Spring, MaLisa; Green, Olivia Odom",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
183,Integrating multiple elements of environmental justice into urban blue space planning using public participation geographic information systems,"Raymond, Christopher M.; Gottwald, Sarah; Kuoppa, Jenni; Kyttae, Marketta",LANDSCAPE AND URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
184,"The effects of naturalness, gender, and age on how urban green space is perceived and used","Sang, Asa Ode; Knez, Igor; Gunnarsson, Bengt; Hedblom, Marcus",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
185,Urban Stormwater Governance: The Need for a Paradigm Shift,"Dhakal, Krishna P.; Chevalier, Lizette R.",ENVIRONMENTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
186,Hydrocomplexity: Addressing water security and emergent environmental risks,"Kumar, Praveen",WATER RESOURCES RESEARCH,2015,,,,,,,,,,,,,,,,,,,,
187,Patterns and Drivers of Scattered Tree Loss in Agricultural Landscapes: Orchard Meadows in Germany (1968-2009),"Plieninger, Tobias; Levers, Christian; Mantel, Martin; Costa, Augusta; Schaich, Harald; Kuemmerle, Tobias",PLOS ONE,2015,,,,,,,,,,,,,,,,,,,,
188,How do people perceive urban trees? Assessing likes and dislikes in relation to the trees of a city,"Camacho-Cervantes, Morelia; Schondube, Jorge E.; Castillo, Alicia; MacGregor-Fors, Ian",URBAN ECOSYSTEMS,2014,,,,,,,,,,,,,,,,,,,,
