id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
164,System interactions of stormwater management using sustainable urban drainage systems and green infrastructure,"Hoang, L.; Fenner, R. A.",URBAN WATER JOURNAL,2016,,,,,,,,,,,,,,,,,,,,
165,"Surface Water Storage Capacity of Twenty Tree Species in Davis, California","Xiao, Qingfu; McPherson, E. Gregory",JOURNAL OF ENVIRONMENTAL QUALITY,2016,,,,,,,,,,,,,,,,,,,,
166,Blue is the new green - Ecological enhancement of concrete based coastal and marine infrastructure,"Ido, Sella; Shimrit, Perkol-Finkel",ECOLOGICAL ENGINEERING,2015,,,,,,,,,,,,,,,,,,,,
167,Brownfields As an Element of Green Infrastructure for Implementing Ecosystem Services into Urban Areas,"Mathey, Juliane; Roessler, Stefanie; Banse, Juliane; Lehmann, Iris; Braeuer, Anne",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
168,Ecosystem services in pen-urban landscapes: The effects of agricultural landscape change on ecosystem services in Taiwan's western coastal plain,"Lee, Ying-Chieh; Ahern, Jack; Yeh, Chia-Tsung",LANDSCAPE AND URBAN PLANNING,2015,,,,,,,,,,,,,,,,,,,,
169,Setting Priorities for Urban Forest Planning. A Comprehensive Response to Ecological and Social Needs for the Metropolitan Area of Rome (Italy),"Capotorti, Giulia; Mollo, Barbara; Zavattero, Laura; Anzellotti, Ilaria; Celesti-Grapow, Laura",SUSTAINABILITY,2015,,,,,,,,,,,,,,,,,,,,
170,"Mapping and quantification of planted tree and shrub shelterbelts in Saskatchewan, Canada","Amichev, Beyhan Y.; Bentham, Murray J.; Cerkowniak, Darrel; Kort, John; Kulshreshtha, Suren; Laroque, Colin P.; Piwowar, Joseph M.; Van Rees, Ken C. J.",AGROFORESTRY SYSTEMS,2015,,,,,,,,,,,,,,,,,,,,
171,Exploring Green Streets and rain gardens as instances of small scale nature and environmental learning tools,"Church, Sarah P.",LANDSCAPE AND URBAN PLANNING,2015,,,,,,,,,,,,,,,,,,,,
172,Biodiversity in my (back)yard: towards a framework for citizen engagement in exploring biodiversity and ecosystem services in residential gardens,"Beumer, Carijn; Martens, Pim",SUSTAINABILITY SCIENCE,2015,,,,,,,,,,,,,,,,,,,,
173,Developing resilient green roofs in a dry climate,"Razzaghmanesh, M.; Beecham, S.; Brien, C. J.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,,,,,,,,,,,,,,,,,,,,
174,"From flood control to flood adaptation: a case study on the Lower Green River Valley and the City of Kent in King County, Washington","Liao, Kuei-Hsien",NATURAL HAZARDS,2014,,,,,,,,,,,,,,,,,,,,
175,Integrating ecosystem services and local government finances into land use planning: A case study from coastal Georgia,"Schmidt, J. P.; Moore, Rebecca; Alber, Merryl",LANDSCAPE AND URBAN PLANNING,2014,,,,,,,,,,,,,,,,,,,,
176,Socioeconomic drivers of yard sustainable practices in a tropical city,"Melendez-Ackerman, Elvia J.; Santiago-Bartolomei, Raul; Vila-Ruiz, Cristina P.; Santiago, Luis E.; Garcia-Montiel, Diana; Verdejo-Ortiz, Julio C.; Manrique-Hernandez, Harold; Hernandez-Calo, Eduardo",ECOLOGY AND SOCIETY,2014,,,,,,,,,,,,,,,,,,,,
177,Involving Ecologists in Shaping Large-Scale Green Infrastructure Projects,"Felson, Alexander J.; Oldfield, Emily E.; Bradford, Mark A.",BIOSCIENCE,2013,,,,,,,,,,,,,,,,,,,,
