id,Title,Authors,Source.Title,Publication.Year,Volume,Issue,Beginning.Page,Ending.Page,DOI,Total.Citations
324,Preliminary study of the influence of the spatial arrangement of urban parks on local temperature reduction,"Lin, Bau-Show; Lin, Ciao-Ting",URBAN FORESTRY & URBAN GREENING,2016,20,,348,357,10.1016/j.ufug.2016.10.003,5
325,Insights and opportunities from mapping ecosystem services of urban green spaces and potentials in planning,"Pulighe, Giuseppe; Fava, Francesco; Lupia, Flavio",ECOSYSTEM SERVICES,2016,22,,1,10,10.1016/j.ecoser.2016.09.004,5
326,Ecosystem services in urban land use planning: Integration challenges in complex urban settings-Case of Stockholm,"Anna, Kaczorowska; Jaan-Henrik, Kain; Jakub, Kronenberg; Dagmar, Haase",ECOSYSTEM SERVICES,2016,22,,204,212,10.1016/j.ecoser.2015.04.006,5
327,Design with Nature: Ian McHarg's ecological wisdom as actionable and practical knowledge,"Yang, Bo; Li, Shujuan",LANDSCAPE AND URBAN PLANNING,2016,155,,21,32,10.1016/j.landurbplan.2016.04.010,5
328,Plant species richness enhances nitrogen retention in green roof plots,"Johnson, Catherine; Schweinhart, Shelbye; Buffam, Ishi",ECOLOGICAL APPLICATIONS,2016,26,7,2130,2144,10.1890/15-1850.1,5
329,Mediterranean habitat loss under future climate conditions: Assessing impacts on the Natura 2000 protected area network,"Barredo, Jose I.; Caudullo, Giovanni; Dosio, Alessandro",APPLIED GEOGRAPHY,2016,75,,83,92,10.1016/j.apgeog.2016.08.003,5
330,Considering the ways biocultural diversity helps enforce the urban green infrastructure in times of urban transformation,"Vierikko, Kati; Elands, Birgit; Niemela, Jari; Andersson, Erik; Buijs, Arjen; Fischer, Leonie Katharina; Haase, Dagmar; Kabisch, Nadja; Kowarik, Ingo; Luz, Ana Catarina; Stahl, Anton Olafsson; Szaraz, Luca; Van der Jagt, Alexander; van den Bosch, Cecil Konijnendijk",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2016,22,,7,12,10.1016/j.cosust.2017.02.006,5
331,Green roofs: Experimental and analytical study of its potential for urban microclimate regulation in Mediterranean-continental climates,"Saiz Alcazar, Susana; Olivieri, Francesca; Neila, Javier",URBAN CLIMATE,2016,17,,304,317,10.1016/j.uclim.2016.02.004,5
332,Wasting collaboration potential: A study in urban green space governance in a post-transition country,"Kronenberg, Jakub; Pietrzyk-Kaszynska, Agata; Zbieg, Anita; Zak, Blazej",ENVIRONMENTAL SCIENCE & POLICY,2016,62,,69,78,10.1016/j.envsci.2015.06.018,5
333,Urban trees reduce nutrient leaching to groundwater,"Nidzgorski, Daniel A.; Hobbie, Sarah E.",ECOLOGICAL APPLICATIONS,2016,26,5,1566,1580,10.1002/15-0976,5
334,Is It Good to Be Green? Assessing the Ecological Results of County Green Infrastructure Planning,"Lynch, Amy J.",JOURNAL OF PLANNING EDUCATION AND RESEARCH,2016,36,1,90,104,10.1177/0739456X15598615,5
335,"A basic assessment of residential plant diversity and its ecosystem services and disservices in Beijing, China","Wang, Hua-Feng; Qureshi, Salman; Knapp, Sonja; Friedman, Cynthia Ross; Hubacek, Klaus",APPLIED GEOGRAPHY,2015,64,,121,131,10.1016/j.apgeog.2015.08.006,5
336,"Urban vegetation cover extraction from hyperspectral imagery and geographic information system spatial analysis techniques: case of Athens, Greece","Petropoulos, George P.; Kalivas, Dionissios P.; Georgopoulou, Iro A.; Srivastava, Prashant K.",JOURNAL OF APPLIED REMOTE SENSING,2015,9,,,,10.1117/1.JRS.9.096088,5
337,"Application, validation and comparison in different geographical contexts of an integrated model for the design of ecological networks","Fichera, Carmelo Riccardo; Laudari, Luigi; Modica, Giuseppe",JOURNAL OF AGRICULTURAL ENGINEERING,2015,46,2,52,61,10.4081/jae.2015.459,5
338,Thresholds of landscape change: a new tool to manage green infrastructure and social-economic development,"Liu, Wenping; Holst, Jirko; Yu, Zhenrong",LANDSCAPE ECOLOGY,2014,29,4,729,743,10.1007/s10980-014-0007-1,5
339,"Assembling the pieces: a framework for the integration of multi-functional ecological main structure in the emerging urban region of Bogota, Colombia","Andrade, German I.; Remolina, Fernando; Wiesner, Diana",URBAN ECOSYSTEMS,2013,16,4,723,739,10.1007/s11252-013-0292-5,5
340,Carbon sequestration and noise attenuation provided by hedges in Rome: the contribution of hedge traits in decreasing pollution levels,"Gratani, Loretta; Varone, Laura",ATMOSPHERIC POLLUTION RESEARCH,2013,4,3,315,322,10.5094/APR.2013.035,5
341,"The effect of light availability on leaf area index, biomass production and plant species composition of park grasslands in Warsaw","Dabrowski, P.; Pawluskiewicz, B.; Kalaji, H. M.; Baczewska, A. H.",PLANT SOIL AND ENVIRONMENT,2013,59,12,543,548,,5
342,CREATING LAND USE SCENARIOS FOR CITY GREENBELTS USING A SPATIAL MULTI-CRITERIA ANALYSIS SHELL: TWO CASE STUDIES,"Hill, Michael J.; FitzSimons, John; Pearson, Craig J.",PHYSICAL GEOGRAPHY,2009,30,4,353,382,10.2747/0272-3646.30.4.353,5
343,BIODIVERSITY AND URBAN DESIGN: SEEKING AN INTEGRATED SOLUTION,"Connery, Kevin",JOURNAL OF GREEN BUILDING,2009,4,2,23,38,10.3992/jgb.4.2.23,5
344,Niches in the urban forest: Organizations and their role in acquiring metropolitan open space,"Ruliffson, JA; Gobster, PH; Haight, RG; Homans, FR",JOURNAL OF FORESTRY,2002,100,6,16,23,,5
345,A conceptual approach for evaluating the multiple benefits of urban flood management practices,"Hoang, L.; Fenner, R. A.; Skenderian, M.",JOURNAL OF FLOOD RISK MANAGEMENT,2018,11,,S943,S959,10.1111/jfr3.12267,4
346,Infrastructures as Socio-Eco-Technical Systems: Five Considerations for Interdisciplinary Dialogue,"Grabowski, Z. J.; Matsler, A. M.; Thiel, C.; McPhillips, L.; Hum, R.; Bradshaw, A.; Miller, T.; Redman, C.",JOURNAL OF INFRASTRUCTURE SYSTEMS,2017,23,4,,,10.1061/(ASCE)IS.1943-555X.0000383,4
347,An urban ecology critique on the Smart City model,"Colding, Johan; Barthel, Stephan",JOURNAL OF CLEANER PRODUCTION,2017,164,,95,101,10.1016/j.jclepro.2017.06.191,4
348,"Shifting to healthier cities with improved urban ecological infrastructure: From the perspectives of planning, implementation, governance and engineering","Li, Feng; Liu, Hongxiao; Huisingh, Donald; Wang, Yutao; Wang, Rusong",JOURNAL OF CLEANER PRODUCTION,2017,163,,S1,S11,10.1016/j.jclepro.2016.11.151,4
349,Elevated phosphorus: dynamics during four years of green roof development,"Mitchell, Mark E.; Matter, Stephen F.; Durtsche, Richard D.; Buffam, Ishi",URBAN ECOSYSTEMS,2017,20,5,1121,1133,10.1007/s11252-017-0664-3,4
350,Role of green space in urban planning: Outlook towards smart cities,"Anguluri, Ramesh; Narayanan, Priya",URBAN FORESTRY & URBAN GREENING,2017,25,,58,65,10.1016/j.ufug.2017.04.007,4
351,Eco-engineering and management strategies for marine infrastructure to reduce establishment and dispersal of non-indigenous species,"Dafforn, Katherine A.",MANAGEMENT OF BIOLOGICAL INVASIONS,2017,8,2,153,161,10.3391/mbi.2017.8.2.03,4
352,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health,"Carinanos, Paloma; Casares-Porcel, Manuel; Diaz de la Guardia, Consuelo; Jesus Aira, Maria; Belmonte, Jordina; Boi, Marzia; Elvira-Rendueles, Belen; De Linares, Concepcion; Fernandez-Rodriguez, Santiago; Maria Maya-Manzano, Jose; Perez-Badia, Rosa; Rodriguez-de la Cruz, David; Javier Rodriguez-Rajo, Francisco; Rojo-Ubeda, Jesus; Romero-Zarco, Carlos; Sanchez-Reyes, Estefania; Sanchez-Sanchez, Jose; Rojo-Ubeda, Jesus; Romero-Zarco, Carlos; Sanchez-Reyes, Estefania; Sanchez-Sanchez, Jose; Tormo-Molina, Rafael; Vega Maray, Ana Ma",ENVIRONMENTAL RESEARCH,2017,155,,219,227,10.1016/j.envres.2017.02.015,4
353,Semi-natural habitats mitigate the effects of temperature rise on wild bees,"Papanikolaou, Alexandra D.; Kuehn, Ingolf; Frenzel, Mark; Schweiger, Oliver",JOURNAL OF APPLIED ECOLOGY,2017,54,2,527,536,10.1111/1365-2664.12763,4
354,Surface energy balance of an extensive green roof as quantified by full year eddy-covariance measurements,"Heusinger, Jannik; Weber, Stephan",SCIENCE OF THE TOTAL ENVIRONMENT,2017,577,,220,230,10.1016/j.scitotenv.2016.10.168,4
355,Combining the Conservation of Biodiversity with the Provision of Ecosystem Services in Urban Green Infrastructure Planning: Critical Features Arising from a Case Study in the Metropolitan Area of Rome,"Capotorti, Giulia; Del Vico, Eva; Anzellotti, Ilaria; Celesti-Grapow, Laura",SUSTAINABILITY,2017,9,1,,,10.3390/su9010010,4
356,Do vegetated rooftops attract more mosquitoes? Monitoring disease vector abundance on urban green roofs,"Wong, Gwendolyn K. L.; Jim, C. Y.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,573,,222,232,10.1016/j.scitotenv.2016.08.102,4
357,Integrating different understandings of landscape stewardship into the design of agri-environmental schemes,"Raymond, Christopher M.; Reed, Mark; Bieling, Claudia; Robinson, Guy M.; Plieninger, Tobias",ENVIRONMENTAL CONSERVATION,2016,43,4,350,358,10.1017/S037689291600031X,4
358,Phylogenetic ecology and the greening of cities,"MacIvor, James S.; Cadotte, Marc W.; Livingstone, Stuart W.; Lundholm, Jeremy T.; Yasui, Simone-Louise E.",JOURNAL OF APPLIED ECOLOGY,2016,53,5,1470,1476,10.1111/1365-2664.12667,4
359,Trends in normalized difference vegetation index (NDVI) associated with urban development in northern West Siberia,"Esau, Igor; Miles, Victoria V.; Davy, Richard; Miles, Martin W.; Kurchatova, Anna",ATMOSPHERIC CHEMISTRY AND PHYSICS,2016,16,15,9563,9577,10.5194/acp-16-9563-2016,4
360,"Urban Green Infrastructure Impacts on Climate Regulation Services in Sydney, Australia","Lin, Brenda B.; Meyers, Jacqui; Beaty, R. Matthew; Barnett, Guy B.",SUSTAINABILITY,2016,8,8,,,10.3390/su8080788,4
361,"Constructing hybrid infrastructure: Exploring the potential ecological, social, and economic benefits of integrating municipal infrastructure into constructed environments","Mangone, Giancarlo",CITIES,2016,55,,165,179,10.1016/j.cities.2016.04.004,4
362,Knowledge Co-production at the Research-Practice Interface: Embedded Case Studies from Urban Forestry,"Campbell, Lindsay K.; Svendsen, Erika S.; Roman, Lara A.",ENVIRONMENTAL MANAGEMENT,2016,57,6,1262,1280,10.1007/s00267-016-0680-8,4
363,The role of forest certification for biodiversity conservation: Lithuania as a case study,"Elbakidze, Marine; Razauskaite, Rita; Manton, Michael; Angelstam, Per; Mozgeris, Gintautas; Brumelis, Guntis; Brazaitis, Gediminas; Vogt, Peter",EUROPEAN JOURNAL OF FOREST RESEARCH,2016,135,2,361,376,10.1007/s10342-016-0940-4,4
364,"Effects of forest type and urbanization on species composition and diversity of urban forest in Changchun, Northeast China","Zhang, Dan; Zheng, Haifeng; He, Xingyuan; Ren, Zhibin; Zhai, Chang; Yu, Xingyang; Mao, Zhixia; Wang, Peijiang",URBAN ECOSYSTEMS,2016,19,1,455,473,10.1007/s11252-015-0473-5,4
365,A toolbox for garden governance,"Dewaelheyns, Valerie; Kerselaers, Eva; Rogge, Elke",LAND USE POLICY,2016,51,,191,205,10.1016/j.landusepol.2015.11.016,4
366,"Evaluating the Benefits of Green Infrastructure for Coastal Areas: Location, Location, Location","Ruckelshaus, Mary H.; Guannel, Gregory; Arkema, Katherine; Verutes, Gregory; Griffin, Robert; Guerry, Anne; Silver, Jess; Faries, Joe; Brenner, Jorge; Rosenthal, Amy",COASTAL MANAGEMENT,2016,44,5,504,516,10.1080/08920753.2016.1208882,4
367,Developing a sustainability indicator set for measuring green infrastructure performance,"Pakzad, Parisa; Osmond, Paul",URBAN PLANNING AND ARCHITECTURAL DESIGN FOR SUSTAINABLE DEVELOPMENT (UPADSD),2016,216,,68,79,10.1016/j.sbspro.2015.12.009,4
368,"Quantifying the local-scale ecosystem services provided by urban treed streetscapes in Bolzano, Italy","Russo, Alessio; Escobedo, Francisco J.; Zerbe, Stefan",AIMS ENVIRONMENTAL SCIENCE,2016,3,1,58,76,10.3934/environsci.2016.1.58,4
369,A multifunctional green infrastructure design to protect and improve native biodiversity in Rio de Janeiro,"Herzog, Cecilia Polacow",LANDSCAPE AND ECOLOGICAL ENGINEERING,2016,12,1,141,150,10.1007/s11355-013-0233-8,4
370,Modelling spatial distributions of alpine vegetation: A graph theory approach to delineate ecologically-consistent species assemblages,"Mikolajczak, A.; Marechal, D.; Sanz, T.; Iseninann, M.; Thierion, V.; Luque, S.",ECOLOGICAL INFORMATICS,2015,30,,196,202,10.1016/j.ecoinf.2015.09.005,4
371,"Attitudes of Citizens towards Urban Parks and Green Spaces for Urban Sustainability: The Case of Gyeongsan City, Republic of Korea","Lee, Young-Chang; Kim, Keun-Ho",SUSTAINABILITY,2015,7,7,8240,8254,10.3390/su7078240,4
372,Do bank loans and local amenities explain Chinese urban house prices?,"Huang, Daisy J.; Leung, Charles K.; Qu, Baozhi",CHINA ECONOMIC REVIEW,2015,34,,19,38,10.1016/j.chieco.2015.03.002,4
373,Valuing the Benefits of Creek Rehabilitation: Building a Business Case for Public Investments in Urban Green Infrastructure,"Mekala, Gayathri Devi; Jones, Roger N.; MacDonald, Darla Hatton",ENVIRONMENTAL MANAGEMENT,2015,55,6,1354,1365,10.1007/s00267-015-0471-7,4
374,Is green infrastructure an effective climate adaptation strategy for conserving biodiversity? A case study with the great crested newt,"Van Teeffelen, Astrid J. A.; Vos, Claire C.; Jochem, Rene; Baveco, Johannes M.; Meeuwsen, Henk; Hilbers, Jelle P.",LANDSCAPE ECOLOGY,2015,30,5,937,954,10.1007/s10980-015-0187-3,4
375,"Neighborhood change and the role of environmental stewardship: a case study of green infrastructure for stormwater in the City of Portland, Oregon, USA","Shandas, Vivek",ECOLOGY AND SOCIETY,2015,20,3,,,10.5751/ES-07736-200316,4
376,Simulating the effect of flow path roughness to examine how green infrastructure restores urban runoff timing and magnitude,"Yang, Yang; Endreny, Theodore A.; Nowak, David J.",URBAN FORESTRY & URBAN GREENING,2015,14,2,361,367,10.1016/j.ufug.2015.03.004,4
377,"Greening and un greening Adelaide, South Australia","Robinson, Guy M.; Liu, Zhiling",AIMS ENVIRONMENTAL SCIENCE,2015,2,3,511,532,10.3934/environsci.2015.3.511,4
378,The role of green infrastructure in climate change adaptation in London,"Jones, Sarah; Somper, Carol",GEOGRAPHICAL JOURNAL,2014,180,2,191,196,10.1111/geoj.12059,4
379,Energy-efficient Power Allocation Scheme for Multi-relay Cooperative Communications,"Xu, Yinlong; Bai, Zhiquan; Wang, Bing; Gong, Peng; Kwak, Kyungsup",2014 16TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY (ICACT),2014,,,260,+,,4
380,"Barriers to the effective planning and management of residential encroachment within urban forest edges: A Southern Ontario, Canada case study","McWilliam, Wendy; Brown, Robert; Eagles, Paul; Seasons, Mark",URBAN FORESTRY & URBAN GREENING,2014,13,1,48,62,10.1016/j.ufug.2013.08.002,4
381,INTERTIDAL ASSEMBLAGES ON ARTIFICAL STRUCTURES AND NATURAL ROCKY HABITATS ON TAIWAN'S NORTH COAST,"Lee, Tsung-Han; Li, Mei-Hui",RAFFLES BULLETIN OF ZOOLOGY,2013,61,1,331,342,,4
382,Green infrastructure: planning a national green network for Australia,"Kilbane, Simon",JOURNAL OF LANDSCAPE ARCHITECTURE,2013,8,1,64,73,10.1080/18626033.2013.798930,4
383,Do species distribution models predict species richness in urban and natural green spaces? A case study using amphibians,"Milanovich, Joseph R.; Peterman, William E.; Barrett, Kyle; Hopton, Matthew E.",LANDSCAPE AND URBAN PLANNING,2012,107,4,409,418,10.1016/j.landurbplan.2012.07.010,4
384,Wildland-Urban Interface Forest Entrepreneurs: A Look at a New Trend,"Hull, R. Bruce; Nelson, Katie",JOURNAL OF FORESTRY,2011,109,3,136,140,,4
385,The European Green Belt: international collaboration in biodiversity research and nature conservation along the former Iron Curtain,"Zmelik, Katharina; Schindler, Stefan; Wrbka, Thomas",INNOVATION-THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH,2011,24,3,273,294,10.1080/13511610.2011.592075,4
386,Analysis of Corrosion Phenomena in Water-pipe Networks,"Nawrocki, Jacek; Swietlik, Joanna",OCHRONA SRODOWISKA,2011,33,4,27,40,,4
387,"The transition of Germany's energy production, green economy, low-carbon economy, socio-environmental conflicts, and equitable society","Weber, Gabriel; Cabras, Ignazio",JOURNAL OF CLEANER PRODUCTION,2017,167,,1222,1231,10.1016/j.jclepro.2017.07.223,3
388,The role of urban green spaces in care facilities for elderly people across European cities,"Artmann, Martina; Chen, Xianwen; Ioja, Cristian; Hof, Angela; Onose, Diana; Ponizy, Lidia; Lamovsek, Alma Zavodnik; Breuste, Juergen",URBAN FORESTRY & URBAN GREENING,2017,27,,203,213,10.1016/j.ufug.2017.08.007,3
389,The potential of green infrastructure application in urban runoff control for land use planning: A preliminary evaluation from a southern Italy case study,"Pappalardo, Viviana; La Rosa, Daniele; Campisano, Alberto; La Greca, Paolo",ECOSYSTEM SERVICES,2017,26,,345,354,10.1016/j.ecoser.2017.04.015,3
390,The long-term prospects of citizens managing urban green space: From place making to place-keeping?,"Mattijssen, T. J. M.; van der Jagt, A. P. N.; Buijs, A. E.; Elands, B. H. M.; Erlwein, S.; Lafortezza, R.",URBAN FORESTRY & URBAN GREENING,2017,26,,78,84,10.1016/j.ufug.2017.05.015,3
391,Governance and management dynamics of landscape restoration at multiple scales: Learning from successful environmental managers in Sweden,"Dawson, Lucas; Elbakidze, Marine; Angelstam, Per; Gordon, Johanna",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,197,,24,40,10.1016/j.jenvman.2017.03.019,3
392,Sponge city'' concept helps solve China's urban water problems,"Liu, Huan; Jia, Yangwen; Niu, Cunwen",ENVIRONMENTAL EARTH SCIENCES,2017,76,14,,,10.1007/s12665-017-6652-3,3
393,"Tall herb sites as a guide for planning, maintenance and engineering of riparian continuous forest cover","Angelstam, Per; Lazdinis, Marius",ECOLOGICAL ENGINEERING,2017,103,,470,477,10.1016/j.ecoleng.2016.06.099,3
394,Disrupted trophic interactions affect recruitment of boreal deciduous and coniferous trees in northern Europe,"Angelstam, Per; Manton, Michael; Pedersen, Simen; Elbakidze, Marine",ECOLOGICAL APPLICATIONS,2017,27,4,1108,1123,10.1002/eap.1506,3
395,Urban sacred natural sites - a call for research,"Jackson, Wendy; Ormsby, Alison",URBAN ECOSYSTEMS,2017,20,3,675,681,10.1007/s11252-016-0623-4,3
396,The role of forest in mitigating the impact of atmospheric dust pollution in a mixed landscape,"Santos, Artur; Pinho, Pedro; Munzi, Silvana; Botelho, Maria Joao; Palma-Oliveira, Jose Manuel; Branquinho, Cristina",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2017,24,13,12038,12048,10.1007/s11356-017-8964-y,3
397,Arbuscular mycorrhizal fungi in Australian stormwater biofilters,"Winfrey, Brandon K.; Hatt, Belinda E.; Ambrose, Richard F.",ECOLOGICAL ENGINEERING,2017,102,,483,489,10.1016/j.ecoleng.2017.02.041,3
398,"Water in the city: Green open spaces, land use planning and flood management - An Australian case study","Schuch, Gemma; Serrao-Neumann, Silvia; Morgan, Edward; Choy, Darryl Low",LAND USE POLICY,2017,63,,539,550,10.1016/j.landusepol.2017.01.042,3
399,Vacant urban lot soils and their potential to support ecosystem services,"Herrmann, Dustin L.; Shuster, William D.; Garmestani, Ahjond S.",PLANT AND SOIL,2017,413,02-Jan,45,57,10.1007/s11104-016-2874-5,3
400,Floral biodiversity of allotment gardens and its contribution to urban green infrastructure,"Borysiak, Janina; Mizgajski, Andrzej; Speak, Andrew",URBAN ECOSYSTEMS,2017,20,2,323,335,10.1007/s11252-016-0595-4,3
401,Spatial configurations of urban forest in different landscape and socio-political contexts: identifying patterns for green infrastructure planning,"Nielsen, Anders Busse; Hedblom, Marcus; Olafsson, Anton Stahl; Wistrom, Bjorn",URBAN ECOSYSTEMS,2017,20,2,379,392,10.1007/s11252-016-0600-y,3
402,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,"Gwak, Jae Ha; Lee, Bo Kyeong; Lee, Won Kyung; Sohn, So Young",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,189,,125,133,10.1016/j.jenvman.2016.12.022,3
403,Combining Ecosystem Services with Cost-Benefit Analysis for Selection of Green and Grey Infrastructure for Flood Protection in a Cultural Setting,"Vojinovic, Zoran; Keerakamolchai, Weeraya; Weesakul, Sutat; Pudar, Ranko S.; Medina, Neiler; Alves, Alida",ENVIRONMENTS,2017,4,1,,,10.3390/environments4010003,3
404,High Biodiversity of Green Infrastructure Does Not Contribute to Recreational Ecosystem Services,"Sikorska, Daria; Sikorski, Piotr; Hopkins, Richard James",SUSTAINABILITY,2017,9,3,,,10.3390/su9030334,3
405,Modelling shifts between mono- and multifunctional farming systems: the importance of social and economic drivers,"Grashof-Bokdam, Carla J.; Cormont, Anouk; Polman, Nico B. P.; Westerhof, Eugene J. G. M.; Franke, Jappe G. J.; Opdam, Paul F. M.",LANDSCAPE ECOLOGY,2017,32,3,595,607,10.1007/s10980-016-0458-7,3
406,Estimating stormwater runoff for community gardens in New York City,"Gittleman, Mara; Farmer, Carson J. Q.; Kremer, Peleg; McPhearson, Timon",URBAN ECOSYSTEMS,2017,20,1,129,139,10.1007/s11252-016-0575-8,3
407,Siting green stormwater infrastructure in a neighbourhood to maximise secondary benefits: lessons learned from a pilot project,"Dagenais, Danielle; Thomas, Isabelle; Paquette, Sylvain",LANDSCAPE RESEARCH,2017,42,2,195,210,10.1080/01426397.2016.1228861,3
408,Patterns and potentials of plant species richness in high- and low-maintenance urban grasslands,"Rudolph, Martin; Velbert, Frederike; Schwenzfeier, Stefan; Kleinebecker, Till; Klaus, Valentin H.",APPLIED VEGETATION SCIENCE,2017,20,1,18,27,10.1111/avsc.12267,3
409,"Assessing the socio-economic impacts of green/blue space, urban residential and road infrastructure projects in the Confluence (Lyon): a hedonic pricing simulation approach","Roebeling, Peter; Saraiva, Miguel; Palla, Anna; Gnecco, Ilaria; Teotonio, Carla; Fidelis, Teresa; Martins, Filomena; Alves, Henrique; Rocha, Joao",JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,2017,60,3,482,499,10.1080/09640568.2016.1162138,3
410,Health Benefits of Urban Allotment Gardening: Improved Physical and Psychological Well-Being and Social Integration,"Soga, Masashi; Cox, Daniel T. C.; Yamaura, Yuichi; Gaston, Kevin J.; Kurisu, Kiyo; Hanaki, Keisuke",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2017,14,1,,,10.3390/ijerph14010071,3
411,"Towards Regenerated and Productive Vacant Areas through Urban Horticulture: Lessons from Bologna, Italy","Gasperi, Daniela; Pennisi, Giuseppina; Rizzati, Niccolo; Magrefi, Francesca; Bazzocchi, Giovanni; Mezzacapo, Umberto; Stefani, Monique Centrone; Sanye-Mengual, Esther; Orsini, Francesco; Gianquinto, Giorgio",SUSTAINABILITY,2016,8,12,,,10.3390/su8121347,3
412,Soil occupation efficiency and landscape conservation in four Mediterranean urban regions,"Salvati, Luca; Quatrini, Valerio; Barbati, Anna; Tomao, Antonio; Mavrakis, Anastasios; Serra, Pere; Sabbi, Alberto; Merlini, Paolo; Corona, Piermaria",URBAN FORESTRY & URBAN GREENING,2016,20,,419,427,10.1016/j.ufug.2016.10.006,3
413,Coupling human preferences with biophysical processes: modeling the effect of citizen attitudes on potential urban stormwater runoff,"Sun, Ning; Hall, Myrna",URBAN ECOSYSTEMS,2016,19,4,1433,1454,10.1007/s11252-013-0304-5,3
414,"Adaptation Planning Support Toolbox: Measurable performance information based tools for co-creation of resilient, ecosystem-based urban plans with urban designers, decision-makers and stakeholders","van de Ven, Frans H. M.; Snep, Robbert P. H.; Koole, Stijn; Brolsma, Reinder; van der Brugge, Rutger; Spijker, Joop; Vergroesen, Toine",ENVIRONMENTAL SCIENCE & POLICY,2016,66,,427,436,10.1016/j.envsci.2016.06.010,3
415,Air temperature cooling by extensive green roofs in Toronto Canada,"MacIvor, J. Scott; Margolis, Liat; Perotto, Matthew; Drake, Jennifer A. P.",ECOLOGICAL ENGINEERING,2016,95,,36,42,10.1016/j.ecoleng.2016.06.050,3
416,Improving Evapotranspiration Mechanisms in the US Environmental Protection Agency's Storm Water Management Model,"Feng, Youcan; Burian, Steven",JOURNAL OF HYDROLOGIC ENGINEERING,2016,21,10,,,10.1061/(ASCE)HE.1943-5584.0001419,3
417,No place for wilderness: Urban parks and the assembling of neoliberal urban environmental governance,"Gabriel, Nathaniel",URBAN FORESTRY & URBAN GREENING,2016,19,,278,284,10.1016/j.ufug.2016.02.006,3
418,Is urban greening for everyone? Social inclusion and exclusion along the Gowanus Canal,"Miller, Jessica Ty",URBAN FORESTRY & URBAN GREENING,2016,19,,285,294,10.1016/j.ufug.2016.03.004,3
419,Temporal changes in the abiotic/biotic drivers of selfpurification in a temperate river,"Wagner, Iwona; Zalewski, Maciej",ECOLOGICAL ENGINEERING,2016,94,,275,285,10.1016/j.ecoleng.2016.05.073,3
420,Recognizing Stewardship Practices as Indicators of Social Resilience: In Living Memorials and in a Community Garden,"McMillen, Heather; Campbell, Lindsay K.; Svendsen, Erika S.; Reynolds, Renae",SUSTAINABILITY,2016,8,8,,,10.3390/su8080775,3
421,Biodiversity resilience in the Central Indian Highlands is contingent on maintaining and recovering landscape connectivity: the tiger as a case study,"Seidensticker, John",REGIONAL ENVIRONMENTAL CHANGE,2016,16,,167,179,10.1007/s10113-015-0846-6,3
422,Advancing urban ecosystem governance in Ljubljana,"Nastran, Mojca; Regina, Helena",ENVIRONMENTAL SCIENCE & POLICY,2016,62,,123,126,10.1016/j.envsci.2015.06.003,3
423,Patterns of Coral-Reef Finfish Species Disappearances Inferred from Fishers' Knowledge in Global Epicentre of Marine Shorefish Diversity,"Lavides, Margarita N.; Molina, Erina Pauline V.; de la Rosa, Gregorio E., Jr.; Mill, Aileen C.; Rushton, Stephen P.; Stead, Selina M.; Polunin, Nicholas V. C.",PLOS ONE,2016,11,5,,,10.1371/journal.pone.0155752,3
424,"The Value of Green Infrastructure on Vacant and Residential Land in Roanoke, Virginia","Kim, Gunwoo; Miller, Patrick; Nowak, David",SUSTAINABILITY,2016,8,4,,,10.3390/su8040296,3
425,Human-Nature for Climate Action: Nature-Based Solutions for Urban Sustainability,"Fink, Helen Santiago",SUSTAINABILITY,2016,8,3,,,10.3390/su8030254,3
426,Air pollution removal by green infrastructures and urban forests in the city of Florence,"Bottalico, Francesca; Chirici, Gherardo; Giannetti, Francesca; De Marco, Alessandra; Nocentini, Susanna; Paoletti, Elena; Salbitano, Fabio; Sanesi, Giovanni; Serenelli, Chiara; Travaglini, Davide","FLORENCE 'SUSTAINABILITY OF WELL-BEING INTERNATIONAL FORUM', 2015: FOOD FOR SUSTAINABILITY AND NOT JUST FOOD, FLORENCESWIF2015",2016,8,,243,251,10.1016/j.aaspro.2016.02.099,3
427,Managing Multiple Ecosystem Services for Landscape Conservation: A Green Infrastructure in Lombardy Region,"Arcidiacono, Andrea; Ronchi, Silvia; Salata, Stefano","WORLD MULTIDISCIPLINARY CIVIL ENGINEERING-ARCHITECTURE-URBAN PLANNING SYMPOSIUM 2016, WMCAUS 2016",2016,161,,2297,2303,10.1016/j.proeng.2016.08.831,3
