Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
93,3,6/24-7/2,D1,NHMU,Roof,Pitfall,Lepidoptera,Noctuidae,No,1,Dingy Cutworm Moth - large with hairy shoulders,
94,3,6/24-7/2,D2,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,7,Common pill bug,
95,3,6/24-7/2,D3,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,1,"Red pavement ant swarmers - looks similar to a pavement ant, but has wings ",
95,3,6/24-7/2,D3,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,4,Red pavement ants ,
95,3,6/24-7/2,D3,NHMU,Roof,Pitfall,,,,12,Micro-flies ,
97,3,6/24-7/2,E1,Marr Lib,Roof,None,Isopoda,Armadillidiidae,No,16,Common pill bug,
98,3,6/24-7/2,E2,Marr Lib,Roof,None,Araneae,Spider,No,20,Assorted Spiders,
98,3,6/24-7/2,E2,Marr Lib,Roof,None,Hymenoptera,Formicidae,No,1,Red pavement ant ,
98,3,6/24-7/2,E2,Marr Lib,Roof,None,Hemiptera,Rhopalidae ,No,1,Possibly a Boxelder bug - very old and colors are hard to see,
99,3,6/24-7/2,E3,Marr Lib,Roof,None,Coleoptera,Chrysomelidae,No,1,Dogbane Leaf Beelte - iridescent ,
99,3,6/24-7/2,E3,Marr Lib,Roof,None,Coleoptera,Tenebrionidae,No,4,Dentate Stink Beetle ,
99,3,6/24-7/2,E3,Marr Lib,Roof,None,,Elateridae ,No,2,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
100,3,6/24-7/2,E4,Marr Lib,Roof,None,Diptera,Muscidae,No,1,House fly,
100,3,6/24-7/2,E4,Marr Lib,Roof,None,Coleoptera,Elateridae,No,1,Wireworm -click beetle larva; looks like a millipede and has only six legs,
101,3,6/24-7/2,F1,NHMU,Ground,PItfall,Araneae,Spider,No,19,Assorted Spiders,
102,3,6/24-7/2,F2,NHMU,Ground,Pitfall,Lepidoptera,Noctuidae,No,1,Dingy Cutworm Moth - large with hairy shoulders,
102,3,6/24-7/2,F2,NHMU,Ground,PItfall,Trichoptera,Limnephilidae,No,1,Small tan moth ,
102,3,6/24-7/2,F2,NHMU,Ground,PItfall,,,,3,Look like beetles ,
102,3,6/24-7/2,F2,NHMU,Ground,PItfall,,,,10,Micro insects ,
103,3,6/24-7/2,F3,NHMU,Ground,PItfall,Ephemeroptera,Baetidae,No,6,"Possibly mayfly larvae - weird, never seen anything like it ",
104,3,6/24-7/2,F4,NHMU,Ground,PItfall,Polydesmida,Eurymerodesmidae,No,30,Millipedes ,
