Bee data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,,,
For data collection methods see above paper.,,,,,
"spp = species. Point = green space site (n=39). Rep = plot within each green space. Season = spring and summer sampling seasons as  detailed in the paper. Homalictus (Homalictus) complex: punctatus, brisbanensis and megastigmus",,,,,
Plot,point,rep,spp,Season,occ
09RG01,RG009,1,"""Homalictus (Homalictus) sphecodoides""",1,1
09RG01,RG009,5,"""Homalictus (Homalictus) sphecodoides""",2,1
10RG01,RG010,1,"""Homalictus (Homalictus) sphecodoides""",1,1
10RG02,RG010,2,"""Homalictus (Homalictus) sphecodoides""",1,1
10RG01,RG010,5,"""Homalictus (Homalictus) sphecodoides""",2,1
10RG02,RG010,6,"""Homalictus (Homalictus) sphecodoides""",2,1
10RG03,RG010,7,"""Homalictus (Homalictus) sphecodoides""",2,1
12RG03,RG012,3,"""Homalictus (Homalictus) sphecodoides""",1,1
12RG04,RG012,4,"""Homalictus (Homalictus) sphecodoides""",1,1
13RG01,RG013,1,"""Homalictus (Homalictus) sphecodoides""",1,1
13RG03,RG013,3,"""Homalictus (Homalictus) sphecodoides""",1,1
13RG01,RG013,5,"""Homalictus (Homalictus) sphecodoides""",2,1
13RG03,RG013,7,"""Homalictus (Homalictus) sphecodoides""",2,1
02UP01,UP002,1,"""Homalictus (Homalictus) sphecodoides""",1,1
02UP02,UP002,2,"""Homalictus (Homalictus) sphecodoides""",1,1
02UP01,UP002,3,"""Homalictus (Homalictus) sphecodoides""",2,1
03UP01,UP003,1,"""Homalictus (Homalictus) sphecodoides""",1,1
03UP02,UP003,4,"""Homalictus (Homalictus) sphecodoides""",2,1
04UP02,UP004,4,"""Homalictus (Homalictus) sphecodoides""",2,1
05UP01,UP005,1,"""Homalictus (Homalictus) sphecodoides""",1,1
05UP02,UP005,2,"""Homalictus (Homalictus) sphecodoides""",1,1
05UP01,UP005,3,"""Homalictus (Homalictus) sphecodoides""",2,1
05UP02,UP005,4,"""Homalictus (Homalictus) sphecodoides""",2,1
06UP02,UP006,4,"""Homalictus (Homalictus) sphecodoides""",2,1
07UP02,UP007,2,"""Homalictus (Homalictus) sphecodoides""",1,1
07UP01,UP007,3,"""Homalictus (Homalictus) sphecodoides""",2,1
07UP02,UP007,4,"""Homalictus (Homalictus) sphecodoides""",2,1
08UP02,UP008,2,"""Homalictus (Homalictus) sphecodoides""",1,1
10UP02,UP010,2,"""Homalictus (Homalictus) sphecodoides""",1,1
11UP02,UP011,2,"""Homalictus (Homalictus) sphecodoides""",1,1
11UP02,UP011,4,"""Homalictus (Homalictus) sphecodoides""",2,1
12UP01,UP012,1,"""Homalictus (Homalictus) sphecodoides""",1,1
12UP02,UP012,2,"""Homalictus (Homalictus) sphecodoides""",1,1
01GC01,GC001,1,"""Homalictus (Homalictus) complex""",1,1
01GC02,GC001,2,"""Homalictus (Homalictus) complex""",1,1
01GC03,GC001,3,"""Homalictus (Homalictus) complex""",1,1
01GC04,GC001,8,"""Homalictus (Homalictus) complex""",2,1
02GC04,GC002,4,"""Homalictus (Homalictus) complex""",1,1
02GC01,GC002,5,"""Homalictus (Homalictus) complex""",2,1
02GC02,GC002,6,"""Homalictus (Homalictus) complex""",2,1
02GC03,GC002,7,"""Homalictus (Homalictus) complex""",2,1
02GC04,GC002,8,"""Homalictus (Homalictus) complex""",2,1
03GC02,GC003,2,"""Homalictus (Homalictus) complex""",1,1
03GC03,GC003,3,"""Homalictus (Homalictus) complex""",1,1
03GC04,GC003,4,"""Homalictus (Homalictus) complex""",1,1
03GC02,GC003,6,"""Homalictus (Homalictus) complex""",2,1
03GC03,GC003,7,"""Homalictus (Homalictus) complex""",2,1
04GC03,GC004,3,"""Homalictus (Homalictus) complex""",1,1
04GC01,GC004,5,"""Homalictus (Homalictus) complex""",2,1
05GC01,GC005,5,"""Homalictus (Homalictus) complex""",2,1
05GC02,GC005,6,"""Homalictus (Homalictus) complex""",2,1
05GC04,GC005,8,"""Homalictus (Homalictus) complex""",2,1
06GC01,GC006,5,"""Homalictus (Homalictus) complex""",2,1
06GC02,GC006,6,"""Homalictus (Homalictus) complex""",2,1
06GC03,GC006,7,"""Homalictus (Homalictus) complex""",2,1
07GC03,GC007,3,"""Homalictus (Homalictus) complex""",1,1
07GC02,GC007,6,"""Homalictus (Homalictus) complex""",2,1
08GC01,GC008,1,"""Homalictus (Homalictus) complex""",1,1
08GC04,GC008,4,"""Homalictus (Homalictus) complex""",1,1
08GC01,GC008,5,"""Homalictus (Homalictus) complex""",2,1
08GC03,GC008,7,"""Homalictus (Homalictus) complex""",2,1
08GC04,GC008,8,"""Homalictus (Homalictus) complex""",2,1
09GC02,GC009,2,"""Homalictus (Homalictus) complex""",1,1
09GC03,GC009,3,"""Homalictus (Homalictus) complex""",1,1
09GC02,GC009,6,"""Homalictus (Homalictus) complex""",2,1
11GC01,GC011,1,"""Homalictus (Homalictus) complex""",1,1
11GC02,GC011,2,"""Homalictus (Homalictus) complex""",1,1
11GC04,GC011,4,"""Homalictus (Homalictus) complex""",1,1
11GC03,GC011,7,"""Homalictus (Homalictus) complex""",2,1
11GC04,GC011,8,"""Homalictus (Homalictus) complex""",2,1
12GC02,GC012,6,"""Homalictus (Homalictus) complex""",2,1
13GC03,GC013,3,"""Homalictus (Homalictus) complex""",1,1
13GC04,GC013,4,"""Homalictus (Homalictus) complex""",1,1
01RG01,RG001,1,"""Homalictus (Homalictus) complex""",1,1
01RG03,RG001,3,"""Homalictus (Homalictus) complex""",1,1
01RG04,RG001,4,"""Homalictus (Homalictus) complex""",1,1
01RG03,RG001,7,"""Homalictus (Homalictus) complex""",2,1
02RG01,RG002,5,"""Homalictus (Homalictus) complex""",2,1
04RG05,RG004,5,"""Homalictus (Homalictus) complex""",2,1
04RG03,RG004,7,"""Homalictus (Homalictus) complex""",2,1
04RG04,RG004,8,"""Homalictus (Homalictus) complex""",2,1
07GC04,RG007,4,"""Homalictus (Homalictus) complex""",1,1
08RG04,RG008,4,"""Homalictus (Homalictus) complex""",1,1
08RG03,RG008,7,"""Homalictus (Homalictus) complex""",2,1
08RG04,RG008,8,"""Homalictus (Homalictus) complex""",2,1
09RG03,RG009,3,"""Homalictus (Homalictus) complex""",1,1
09RG01,RG009,5,"""Homalictus (Homalictus) complex""",2,1
09RG03,RG009,7,"""Homalictus (Homalictus) complex""",2,1
10RG02,RG010,6,"""Homalictus (Homalictus) complex""",2,1
01UP02,UP001,2,"""Homalictus (Homalictus) complex""",1,1
01UP01,UP001,3,"""Homalictus (Homalictus) complex""",2,1
02UP02,UP002,2,"""Homalictus (Homalictus) complex""",1,1
02UP01,UP002,3,"""Homalictus (Homalictus) complex""",2,1
02UP02,UP002,4,"""Homalictus (Homalictus) complex""",2,1
03UP01,UP003,1,"""Homalictus (Homalictus) complex""",1,1
03UP02,UP003,2,"""Homalictus (Homalictus) complex""",1,1
03UP01,UP003,3,"""Homalictus (Homalictus) complex""",2,1
04UP01,UP004,3,"""Homalictus (Homalictus) complex""",2,1
05UP01,UP005,1,"""Homalictus (Homalictus) complex""",1,1
05UP02,UP005,2,"""Homalictus (Homalictus) complex""",1,1
05UP01,UP005,3,"""Homalictus (Homalictus) complex""",2,1
06UP02,UP006,4,"""Homalictus (Homalictus) complex""",2,1
07UP01,UP007,1,"""Homalictus (Homalictus) complex""",1,1
07UP02,UP007,2,"""Homalictus (Homalictus) complex""",1,1
07UP01,UP007,3,"""Homalictus (Homalictus) complex""",2,1
07UP02,UP007,4,"""Homalictus (Homalictus) complex""",2,1
08UP01,UP008,1,"""Homalictus (Homalictus) complex""",1,1
08UP02,UP008,2,"""Homalictus (Homalictus) complex""",1,1
08UP01,UP008,3,"""Homalictus (Homalictus) complex""",2,1
09UP02,UP009,2,"""Homalictus (Homalictus) complex""",1,1
10UP01,UP010,1,"""Homalictus (Homalictus) complex""",1,1
10UP02,UP010,4,"""Homalictus (Homalictus) complex""",2,1
11UP01,UP011,1,"""Homalictus (Homalictus) complex""",1,1
11UP02,UP011,2,"""Homalictus (Homalictus) complex""",1,1
12UP02,UP012,4,"""Homalictus (Homalictus) complex""",2,1
13UP01,UP013,1,"""Homalictus (Homalictus) complex""",1,1
13UP02,UP013,2,"""Homalictus (Homalictus) complex""",1,1
13UP02,UP013,4,"""Homalictus (Homalictus) complex""",2,1
03GC01,GC003,1,"""Hylaeus sp 1""",1,1
07GC04,GC007,8,"""Hylaeus sp 1""",2,1
05UP01,UP005,1,"""Hylaeus sp 1""",1,1
10UP02,UP010,4,"""Hylaeus sp 1""",2,1
01GC01,GC001,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
02GC03,GC002,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
03GC01,GC003,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
03GC03,GC003,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
03GC03,GC003,7,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
03GC04,GC003,8,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
05GC01,GC005,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
