GI.type,Species Number,Genus,Species,urban.gradient,Urban
cemeteries,77,Osmia,leaiana,rural,0.13
cemeteries,78,Nomada,marshamella,rural,0.13
cemeteries,79,Bombus,ruderatus,rural,0.13
cemeteries,80,Dasysyrphus,venustus,rural,0.25
cemeteries,81,Xanthogramma,pedissequum,rural,0.13
cemeteries,82,Cheilosia,antiqua,rural,0.13
cemeteries,83,Cheilosia,illustrata,rural,0.13
cemeteries,84,Cheilosia,impressa,rural,0.13
cemeteries,85,Cheilosia,lasiopa,rural,0.13
cemeteries,86,Ferdinandea,cuprea,rural,0.13
cemeteries,87,Portevinia,maculata,rural,0.13
cemeteries,88,Riponnensia,splendens,rural,0.13
cemeteries,89,Eristalis,arbustorum,rural,0.13
cemeteries,90,Helophilus,hybridus,rural,0.13
cemeteries,91,Chalcosyrphus,nemorum,rural,0.13
cemeteries,92,Xylota,tarda,rural,0.13
cemeteries,93,Parasyrphus,nigritarsis,rural,0
cemeteries,94,Halictus,rubicundus,rural,0
cemeteries,95,Sphecodes,ephippius,rural,0
cemeteries,96,Coelioxys,inermis,rural,0
cemeteries,97,Nomada,fabriciana,rural,0
cemeteries,98,Baccha,elongata,rural,0
cemeteries,99,Melangyna,umbellatarum,rural,0
cemeteries,100,Scaeva,pyrastri,rural,0
cemeteries,101,Andrena,denticulata,rural,0
cemeteries,102,Melitta,haemorrhoidalis,rural,0
cemeteries,103,Lasioglossum,villosulum,rural,0
cemeteries,104,Meliscaeva,auricollis,rural,0
cemeteries,105,Sphaerophoria,scripta,rural,0
cemeteries,106,Myathropa,florea,rural,0
cemeteries,107,Heringia,brevidens,rural,0
cemeteries,108,Volucella,inanis,rural,0
