GI.Type,SiteID,SpeciesCode,Taxa,SpeciesName,CommonName,Status,Count
public/community gardens,53,bl,Bird,,Blackbird,,2
public/community gardens,53,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,2
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,2
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,172,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,178,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,2
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,2
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,180,bl,Bird,,Blackbird,,1
public/community gardens,4,bl,Bird,,Blackbird,,1
public/community gardens,4,bl,Bird,,Blackbird,,1
public/community gardens,4,bl,Bird,,Blackbird,,1
public/community gardens,4,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,2
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,2
public/community gardens,56,bl,Bird,,Blackbird,,3
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,2
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,2
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,39,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
