Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
CV,De La Visitation,Cemetery,Montreal,6200,45.5674,-73.6591,MontrÇal,cemetery,netting,2013,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,3,1,7,,42,13,,1,1,5,,2,,1,,,,,,,,,,,,,,,1,1,,4,,,,,2,,,,,,6,1,,,,3,,,,,,,,,,,,,,,9,,14,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,Alexis-Nihon,Community garden,Montreal,1050,45.4971,-73.691,MontrÇal,community garden,netting,2013,,,,2,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,2,1,,,,,,2,6,,3,,,,,,1,,,1,,,,,,,,,,1,,,6,,,,,,,3,,,,,2,,26,,,,2,,,,,,,,,,,,,,,,,,6,9,4,2,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
JED,êtienne-Desmarteaux,Community garden,Montreal,5149,45.5581,-73.5782,MontrÇal,community garden,netting,2013,,,,3,,,2,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,6,,2,,,,1,,12,6,1,3,,5,,,,,,,,,,2,,,,,,1,,,2,4,,,,,,,2,,,,,8,1,,,,,3,,,,,,,,,,,,,,,1,,1,1,53,4,,,4,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Hartenstein,Community garden,Montreal,567,45.5581,-73.5782,MontrÇal,community garden,netting,2013,,,,1,1,,,,1,4,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,6,4,4,,,,3,,,12,,10,1,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,3,1,2,,,,2,6,,,,1,,,,,,,,,,,,5,,,2,3,,1,,2,4,,,27,,,,,,,,,,,,,2,1,1,,,,,,7,,,,,,,,,,,2,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
JL,Laurendeau,Community garden,Montreal,2320,45.6036,-73.5702,MontrÇal,community garden,netting,2013,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,1,21,,4,,,,,,,,,,,,,,4,,,,,,,2,1,,,,,,,,,,1,,1,,3,,,,2,,,,,,,,,,,,,,,,,,,10,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
JP,Prieur,Community garden,Montreal,4221,45.5778,-73.6489,MontrÇal,community garden,netting,2013,,,,1,3,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,1,,,,1,4,12,,,,5,,12,25,,9,,3,3,3,,,,,,,1,1,,3,1,1,,,,,2,8,,,,,,,9,,2,,,7,1,6,,,1,10,,,,,,,,,,,,,,,14,,,2,8,4,4,,2,41,8,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
JPM,Päre-Marquette,Community garden,Montreal,3180,45.5399,73.59569,MontrÇal,community garden,netting,2013,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,8,,,,1,,38,26,,21,,5,,1,,,,,,,,1,,4,1,,2,,,,1,9,,,,,,,3,,,,,3,,7,,,,1,,,,,,,,,,,,,,,1,,,6,59,,,,63,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
JR,Roseraie,Community garden,Montreal,2117,45.5923,-73.5544,MontrÇal,community garden,netting,2013,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,
JRE,Rosemont-êglantier,Community garden,Montreal,7514,45.5654,-73.5685,MontrÇal,community garden,netting,2013,,,,,3,,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1,,12,14,,24,,3,,,,,,,1,,,2,,,,,,1,,,1,1,,,,,,,,,,,,5,15,8,,,,28,,,,,,,,,,,,,,,2,,,1,21,,10,,4,23,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS,Sherbrooke,Community garden,Montreal,960,45.4447,-73.6679,MontrÇal,community garden,netting,2013,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,3,,,,2,,3,10,,17,,2,,2,,,,,,,,10,,1,,,2,,,,,6,,,,,,,1,,,,,2,,1,1,,,2,,,,,,,,,,,,,,,4,,,1,9,2,,,,9,3,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSM,Sainte-Marthe,Community garden,Montreal,3050,45.6386,-73.5981,MontrÇal,community garden,netting,2013,,,,3,4,,21,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,15,4,4,,,1,8,,12,16,1,11,1,2,,2,,,,,,,,,,1,,,,,,,2,2,,,,,,,2,,1,1,,3,7,,,,,4,,,,,1,,,,,,,,,,,,,,,2,2,,,8,2,,,,,,,,,,,,6,,39,3,,,6,5,,,7,,2,,,,,,,2,,3,,,,,,1,,2,,,2,3,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
PBL,Bois-de-Liesse,Nature park,Montreal,1716,45.5007,-73.7647,MontrÇal,park,netting,2013,,,,,1,,,,,3,,,13,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,2,,9,21,,5,9,6,,6,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,13,,,,,,4,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
PIB,Boucherville island,Nature park,Montreal,3024,45.5885,-73.4854,MontrÇal,park,netting,2013,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,1,,1,,,,,,,,1,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,2,1,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPPH,Pointe-aux-Prairies Heritage,Nature park,Montreal,5900,45.6815,-73.5068,MontrÇal,park,netting,2013,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,4,,23,13,,11,1,5,,,1,4,,,,,,,,,,19,1,3,,,,2,,,,,,,,1,,1,,,,2,,,,1,,,,,4,1,,,,,,,,,,,,6,,,,2,,1,,,,,,,1,6,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPPM,Pointe-aux-Prairies Marais,Nature park,Montreal,9211,45.6881,-73.5237,MontrÇal,park,netting,2013,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,6,,,,,,,6,,1,5,1,,,,2,,,,,,,,,1,5,,2,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
PV,De La Visitation,Nature park,Montreal,3500,45.5808,-73.6561,MontrÇal,park,netting,2013,,,,,9,,11,2,,9,,,,,,8,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,1,,1,,2,2,,6,1,4,,4,,,,,,,,,,,,1,,,,,,2,,1,,,,,,,,,,,5,4,,,,,,,,,,1,,,,,,,,,,,,,,,45,2,,10,,,,,,,,,,,,,11,,1,1,,,2,75,5,,4,,2,,,1,,,,,,,,,,,,,,6,14,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
CBS,Shaare Zion,Cemetery,Montreal,16483,45.5503,-73.6557,MontrÇal,cemetery,pan trap,2012,0,,,,29,0,0,0,2,13,45,1,0,0,,0,,0,0,,,0,,0,,2,,0,0,,,,,0,,,,,0,0,0,0,1,2,2,5,2,1,1,0,31,0,3,1,0,1,0,0,1,1,0,0,,,0,0,0,1,0,3,2,0,0,0,,0,0,8,,2,3,0,0,,0,0,0,0,,0,0,1,,0,0,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,,,,,,,0,0,0,3,0,0,,2,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,4,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
CC,Urgel Bourgie,Cemetery,Montreal,62100,45.5095,-73.6647,MontrÇal,cemetery,pan trap,2012,0,,,,33,0,8,0,2,17,20,0,4,2,,4,,0,0,,,0,,0,,3,,0,0,,,,,0,,,,,7,4,0,0,3,3,45,33,13,0,1,0,11,0,0,18,0,0,1,1,1,2,0,0,,,4,0,0,4,0,10,0,4,1,1,,0,0,3,,0,4,0,0,,10,0,1,0,,0,0,1,,1,0,50,,,0,,0,,,,,,,,,,4,1,41,1,4,0,4,0,0,5,,,,,,0,,,,,,,2,0,0,13,0,0,,0,0,,0,1,,0,,,,,,,,,,1,,,,,,1,0,0,1,0,0,,,0,,1,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
CHD,Hawthorn-Dale,Cemetery,Montreal,86000,45.6838,-73.5069,MontrÇal,cemetery,pan trap,2012,0,,,,44,1,11,5,0,27,4,2,49,4,,7,,0,0,,,0,,0,,2,,1,1,,,,,0,,,,,5,0,0,1,2,7,9,4,11,15,46,0,29,0,1,16,0,1,1,0,1,0,0,2,,,675,0,9,34,0,2,0,12,1,0,,1,0,0,,0,3,0,0,,0,0,1,0,,0,0,0,,0,0,12,,,0,,1,,,,,,,,,,2,0,2,5,1,4,29,9,1,5,,,,,,0,,,,,,,0,0,1,6,0,0,,0,3,,0,0,,0,,,,,,,,,,0,,,,,,,2,0,0,1,0,,,7,,0,,,,,,,,0,,,,,,,1,,0,,,,,0,1,1,,,,
CL,Lachine,Cemetery,Montreal,50735,45.4435,-73.684,MontrÇal,cemetery,pan trap,2012,0,,,1,23,22,13,0,10,244,34,2,6,8,,1,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,19,4,1,0,2,0,10,44,12,138,1,3,222,0,0,5,0,0,0,2,2,0,1,0,,,4,1,1,16,0,0,0,1,0,0,,0,0,0,,0,4,0,1,,2,1,0,0,,1,0,1,,0,1,4,,,0,,0,,,,,,,,,,3,0,9,1,3,0,1,0,0,3,,,,,,0,,,,,,,0,0,0,1,0,0,,0,0,,17,0,,0,,,,,,,,,,0,,,,,,,0,0,1,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
CLV,Lakeview,Cemetery,Montreal,147000,45.4417,-73.8373,MontrÇal,cemetery,pan trap,2012,0,,,3,50,4,13,5,8,72,16,0,28,1,,1,,0,2,,,0,,0,,0,,5,0,,,,,0,,,,,14,4,2,1,4,4,42,30,35,965,5,0,152,0,8,18,0,5,0,4,4,5,1,1,,,30,0,2,3,0,1,0,18,1,1,,0,0,4,,0,2,0,3,,4,0,1,1,,2,0,0,,2,1,35,,,0,,0,,,,,,,,,,5,0,28,4,1,7,8,0,0,2,,,,,,1,,,,,,,0,0,7,23,0,0,,0,4,,1,0,1,0,,,,,,,,,,0,,,,,,14,1,2,1,0,0,,,0,,0,,,,,,,,1,,,,,1,,2,,0,,,,,1,0,0,,,,
CP,La PrÇsentation,Cemetery,Montreal,13005,45.4434,-73.7366,MontrÇal,cemetery,pan trap,2012,0,,,1,9,1,3,2,6,21,7,0,0,0,,1,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,17,2,0,2,0,0,3,19,2,8,0,0,30,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,1,0,0,,0,0,4,,0,3,0,0,,0,0,0,0,,1,0,0,,0,0,2,,,0,,0,,,,,,,,,,3,0,10,1,0,3,1,1,0,0,,,,,,0,,,,,,,0,0,1,10,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,1,,,,,0,0,0,,,,
CSG,Ste-Geneviäve,Cemetery,Montreal,44800,45.459,-73.9204,MontrÇal,cemetery,pan trap,2012,0,,,,7,0,4,1,0,22,8,2,73,5,,1,,0,0,,,0,,0,,0,,1,0,,,,,1,,,,,5,0,0,0,1,1,5,21,13,40,2,0,39,0,6,5,0,0,2,0,0,0,0,0,,,2,0,0,0,0,2,0,4,1,0,,0,0,0,,0,1,0,0,,0,0,0,0,,0,0,0,,0,0,2,,,0,,3,,,,,,,,,,4,0,0,5,0,4,2,5,0,0,,,,,,0,,,,,,,0,0,6,2,0,0,,1,6,,0,0,,0,,,,,1,,,,,0,,,,,,,0,1,2,0,0,,,0,,0,,,,,,,,1,,,,,,,0,,0,,,,,0,0,0,,,,
CSL,St-Laurent,Cemetery,Montreal,16182,45.5155,-73.6714,MontrÇal,cemetery,pan trap,2012,1,,,,13,0,8,0,0,14,21,0,3,0,,0,,0,0,,,0,,1,,1,,6,0,,,,,0,,,,,23,0,1,0,1,0,3,21,3,0,4,1,74,0,0,2,0,0,0,0,1,2,0,0,,,0,0,0,0,0,1,0,0,0,0,,0,3,0,,0,2,0,1,,1,0,0,2,,0,1,0,,0,0,4,,,0,,0,,,,,,,,,,2,0,88,2,3,0,5,0,0,2,,,,,,0,,,,,,,1,0,0,16,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
CV,De La Visitation,Cemetery,Montreal,6200,45.5674,-73.6591,MontrÇal,cemetery,pan trap,2012,0,,,,11,0,5,1,0,0,6,0,0,1,,0,,0,0,,,0,,0,,0,,1,0,,,,,0,,,,,1,3,0,0,0,0,3,5,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,,0,0,4,,0,1,0,0,,1,0,0,0,,0,0,0,,0,0,0,,,0,,0,,,,,,,,,,1,0,1,0,1,0,2,0,0,0,,,,,,0,,,,,,,0,0,0,0,0,0,,0,0,,1,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JAN,Alexis-Nihon,Community garden,Montreal,1050,45.4971,-73.691,MontrÇal,community garden,pan trap,2012,0,,,,5,0,0,0,1,1,5,0,0,0,,0,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,6,0,1,0,0,1,0,0,0,,,1,0,1,0,0,0,0,0,0,0,,0,4,0,,2,2,0,0,,3,1,0,0,,1,0,4,,0,0,1,,,0,,0,,,,,,,,,,7,0,0,0,3,1,1,0,1,3,,,,,,1,,,,,,,0,0,0,1,0,0,,0,1,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JH,Hartenstein,Community garden,Montreal,567,45.5581,-73.5782,MontrÇal,community garden,pan trap,2012,0,,,,8,1,2,0,1,10,4,0,0,1,,0,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,1,8,0,0,0,0,4,13,2,1,0,0,16,0,0,2,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,2,0,2,,0,1,1,,4,1,0,0,,6,0,0,1,,1,0,1,,0,0,12,,,0,,1,,,,,,,,,,12,1,18,0,0,0,0,0,0,3,,,,,,0,,,,,,,0,1,1,2,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JL,Laurendeau,Community garden,Montreal,2320,45.6036,-73.5702,MontrÇal,community garden,pan trap,2012,0,,,,7,0,1,0,1,2,11,0,0,1,,0,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1,1,0,0,,0,0,3,,0,2,0,0,,2,0,0,0,,0,0,5,,0,0,16,,,0,,0,,,,,,,,,,0,0,0,0,6,1,0,1,0,0,,,,,,0,,,,,,,0,0,0,0,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,1,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JP,Prieur,Community garden,Montreal,4221,45.5778,-73.6489,MontrÇal,community garden,pan trap,2012,0,,,,59,1,7,0,0,28,3,0,1,0,,0,,0,1,,,0,,0,,0,,0,1,,,,,0,,,,,3,2,2,1,1,0,4,17,34,0,3,0,35,0,2,4,0,0,0,0,1,0,0,0,,,0,0,6,6,0,9,1,2,2,0,,0,0,4,,1,1,0,0,,3,0,1,0,,1,0,1,,0,0,4,,,0,,0,,,,,,,,,,1,1,0,1,3,3,0,0,0,13,,,,,,0,,,,,,,0,0,0,3,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,1,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,1,,,,,0,0,0,,,,
JPM,Päre-Marquette,Community garden,Montreal,3180,45.5399,73.59569,MontrÇal,community garden,pan trap,2012,0,,,,114,1,10,0,4,18,12,3,2,0,,0,,2,0,,,0,,0,,1,,0,0,,,,,0,,,,,3,0,6,0,1,1,9,10,12,0,1,0,19,0,4,21,0,0,0,1,2,8,0,0,,,0,5,0,7,0,9,1,0,0,0,,0,2,25,,0,1,2,0,,8,0,1,0,,5,0,1,,0,0,9,,,0,,0,,,,,,,,,,11,1,2,0,7,1,3,1,1,10,,,,,,0,,,,,,,0,0,0,1,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JR,Roseraie,Community garden,Montreal,2117,45.5923,-73.5544,MontrÇal,community garden,pan trap,2012,0,,,,22,2,6,1,2,21,3,4,0,0,,1,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,1,6,0,0,1,0,10,14,13,9,2,0,2,0,1,2,0,0,0,0,0,0,0,0,,,0,0,2,1,0,3,0,1,0,0,,0,0,0,,0,1,0,0,,1,0,0,0,,0,0,0,,0,0,14,,,0,,0,,,,,,,,,,0,3,2,0,0,2,2,0,2,5,,,,,,0,,,,,,,0,0,0,1,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JRE,Rosemont-êglantier,Community garden,Montreal,7514,45.5654,-73.5685,MontrÇal,community garden,pan trap,2012,0,,,,275,0,7,0,5,19,33,5,6,0,,1,,0,0,,,0,,0,,0,,0,0,,,,,1,,,,,1,1,0,0,1,1,14,19,15,1,0,0,14,1,4,20,0,1,1,0,3,3,0,0,,,1,0,1,7,0,6,0,2,2,0,,0,0,10,,6,1,0,0,,2,0,0,1,,1,2,0,,1,0,51,,,0,,0,,,,,,,,,,9,1,0,1,28,10,5,2,2,28,,,,,,2,,,,,,,0,0,7,5,0,0,,0,0,,0,0,,1,,,,,,,,,,0,,,,,,,0,1,1,0,0,,,1,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JS,Sherbrooke,Community garden,Montreal,960,45.4447,-73.6679,MontrÇal,community garden,pan trap,2012,0,,,1,2,2,1,0,4,13,0,14,0,0,,0,,0,0,,,0,,0,,0,,0,0,,,,,1,,,,,0,5,0,0,1,2,0,6,10,0,1,0,6,0,0,1,0,2,0,0,0,0,0,0,,,2,2,5,9,0,3,0,4,1,0,,0,0,3,,0,1,0,0,,1,0,1,0,,0,0,0,,0,0,2,,,0,,0,,,,,,,,,,0,0,0,6,2,3,6,0,0,6,,,,,,0,,,,,,,0,0,0,0,0,0,,0,0,,1,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
JSM,Sainte-Marthe,Community garden,Montreal,3050,45.6386,-73.5981,MontrÇal,community garden,pan trap,2012,0,,,,17,0,5,0,3,21,4,2,2,1,,0,,0,0,,,0,,0,,1,,0,0,,,,,0,,,,,0,2,0,0,2,1,9,20,14,0,3,1,45,0,2,5,0,0,0,0,0,0,0,0,,,0,1,0,5,0,11,0,2,1,0,,0,2,1,,0,1,0,0,,1,0,0,0,,0,0,1,,0,0,19,,,0,,0,,,,,,,,,,8,0,3,3,0,0,1,0,0,3,,,,,,0,,,,,,,0,0,0,0,0,0,,0,0,,1,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
PBL,Bois-de-Liesse,Nature park,Montreal,1716,45.5007,-73.7647,MontrÇal,park,pan trap,2012,0,,,,3,0,6,2,0,7,0,0,21,0,,0,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,1,0,0,0,0,0,3,0,5,5,1,0,3,0,3,6,0,2,2,2,0,0,1,1,,,2,0,1,0,0,0,0,27,0,4,,1,3,1,,0,1,0,1,,0,0,0,0,,0,0,5,,0,0,0,,,0,,0,,,,,,,,,,0,0,0,2,0,0,2,2,0,0,,,,,,0,,,,,,,0,0,1,16,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,1,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
PIB,Boucherville island,Nature park,Montreal,3024,45.5885,-73.4854,MontrÇal,park,pan trap,2012,0,,,,0,1,6,0,1,8,0,0,2,0,,0,,0,0,,,0,,0,,0,,0,0,,,,,0,,,,,0,2,0,0,1,0,1,2,9,5,1,0,8,0,3,10,0,0,1,1,1,2,1,3,,,14,0,10,1,0,2,1,13,5,7,,0,0,0,,0,0,0,0,,0,0,2,1,,0,0,0,,0,0,1,,,0,,0,,,,,,,,,,0,0,0,5,1,4,11,1,0,0,,,,,,0,,,,,,,0,0,0,4,0,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,1,,,,,,,0,,0,,,,,0,0,1,,,,
