SiteID,Lon,Lat,Area (m2),Height (m),Age (year),Sealed area (%),Family,Genus,Species,Abundance
2,16.379753,48.23655,750,15,9,68.6,Megachilidae,Stelis,punctulatissima,
2,16.379753,48.23655,750,15,9,68.6,Mellitidae,Melitta,haemorrhoidalis,
2,16.379753,48.23655,750,15,9,68.6,Mellitidae,Melitta,leporinaÿ,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,bimaculata,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,danuvia,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,dorsataÿ,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,flavipes,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,gravida,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,minutulaÿ,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,nigroaenea,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,ovatulaÿ,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,pilipes,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,tibialis,
3,16.372002,48.189551,200,25,16,75.6,Andrenidae,Andrena,variansÿ,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Anthophora,crinipes,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Anthophora,plumipesÿ,2
3,16.372002,48.189551,200,25,16,75.6,Apidae,Anthophora,quadrimaculata,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Apis,mellifera,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,bohemicus,1
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,hortorum,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,humilis,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,hypnorum,4
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,lapidaries,11
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,lucorum,2
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,pascuorum,2
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,pratorum,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,rupestris,1
3,16.372002,48.189551,200,25,16,75.6,Apidae,Bombus,terrestris,1
3,16.372002,48.189551,200,25,16,75.6,Apidae,Eucera,nigrescens,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Melecta,albifrons,
3,16.372002,48.189551,200,25,16,75.6,Apidae,Nomada,goodeniana,1
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Colletes,daviesanus,
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,cardioscapus,
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,communis,17
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,gredleri,
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,hyalinatus,12
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,imparilis,
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,leptocephalus,
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,pictipes,4
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,punctatus,7
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,sinuatus,1
3,16.372002,48.189551,200,25,16,75.6,Colletidae,Hylaeus,styriacus,1
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,kessleri,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,maculatus,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,rubicundus,1
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,seladonius,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,simplex,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,subauratus,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Halictus,tumulorum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,calceatum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,laticeps,4
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,leucozonium,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,malachurum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,marginatum,
