Taxa,Species,Frequency Percent,Red List,Native Status,Habitat,Territories
Plants,Populus nigra 'Italica',3,*,N,,
Plants,Populus tremula,.,*,.,,
Plants,Portulaca oleracea,.,*,N,,
Plants,Potentilla argentea,3,*,.,,
Plants,Potentilla recta subsp. recta,.,*,N,,
Plants,Potentilla reptans,.,*,.,,
Plants,Potentilla sterilis,.,nr,N,,
Plants,Primula vulgaris,.,*,N,,
Plants,Prunella vulgaris,.,*,.,,
Plants,Prunus avium,10,*,.,,
Plants,Prunus cerasifera,10,*,N,,
Plants,Prunus domestica s. l.,.,*,N,,
Plants,Prunus padus,13,*,.,,
Plants,Prunus serotina,.,*,N,,
Plants,Pseudotsuga menziesii,.,*,N,,
Plants,Pulmonaria o?cinalis s. l.,.,*,N,,
Plants,Quercus petraea,7,*,.,,
Plants,Quercus robur,17,*,.,,
Plants,Quercus rubra,3,*,N,,
Plants,Ranunculus acris subsp. acris,.,*,.,,
Plants,Ranunculus auricomus s. l.,3,3,.,,
Plants,Ranunculus repens,.,*,.,,
Plants,Ranunculus sardous,.,1,.,,
Plants,Ribes alpinum,10,*,N,,
Plants,Ribes rubrum,3,*,.,,
Plants,Ribes uva-crispa,23,*,N,,
Plants,Robinia pseudoacacia,3,*,N,,
Plants,Rorippa palustris,.,*,.,,
Plants,Rosa canina,13,*,.,,
Plants,Rosa canina s. l.,.,*,.,,
Plants,Rosa corymbifera,.,*,.,,
Plants,Rubus armeniacus,.,*,N,,
Plants,Rubus caesius,20,*,.,,
Plants,Rubus idaeus,3,*,.,,
Plants,Rumex acetosa,.,V,.,,
Plants,Rumex acetosella,3,*,.,,
Plants,Rumex crispus,.,*,.,,
Plants,Rumex obtusifolius,.,*,.,,
Plants,Rumex thyrsi?orus,3,*,.,,
Plants,Sagina micropetala,.,?,.,,
Plants,Sagina procumbens,7,*,.,,
Plants,Salix alba,.,*,.,,
Plants,Salix caprea,3,*,.,,
Plants,Salix cinerea subsp. cinerea,.,*,.,,
Plants,Salix matsudana 'Tortuosa',.,*,N,,
Plants,Salix viminalis,.,*,.,,
Plants,Salix x rubens,.,*,.,,
Plants,Sambucus nigra,33,*,.,,
Plants,Sanguisorba minor subsp. balearica,.,*,N,,
Plants,Saponaria o?cinalis,.,*,.,,
Plants,Saxifraga tridactylites,3,3,.,,
Plants,Scilla siberica,40,*,N,,
Plants,Scorzoneroides autumnalis subsp. autumnalis,.,*,.,,
Plants,Scrophularia nodosa,.,*,.,,
Plants,Securigera varia,3,*,.,,
Plants,Sedum acre,3,*,.,,
Plants,Sedum sexangulare,.,*,.,,
Plants,Sempervivum spec.,3,*,N,,
Plants,Senecio inaequidens,.,*,N,,
Plants,Senecio jacobaea,.,*,.,,
Plants,Senecio vernalis,7,*,N,,
Plants,Senecio viscosus,.,*,.,,
Plants,Senecio vulgaris,3,*,.,,
Plants,Setaria verticilliformis,.,*,N,,
Plants,Setaria viridis,.,*,.,,
Plants,Silene latifolia subsp. alba,.,*,.,,
Plants,Sisymbrium loeselii,.,*,N,,
Plants,Solanum decipiens,.,*,N,,
Plants,Solanum dulcamara,.,*,.,,
Plants,Solanum lycopersicum,.,*,N,,
Plants,Solidago canadensis,7,*,N,,
Plants,Solidago gigantea,7,*,N,,
Plants,Sonchus asper,.,*,.,,
Plants,Sonchus oleraceus,.,*,.,,
Plants,Sorbaria sorbifolia,.,*,N,,
Plants,Sorbus aucuparia,7,*,.,,
Plants,Sorbus intermedia,3,*,N,,
Plants,Spergularia rubra,.,*,.,,
Plants,Stellaria media,3,*,.,,
Plants,Stellaria pallida,7,*,.,,
Plants,Symphoricarpos albus,3,*,N,,
Plants,Symphyotrichum lanceolatum,.,*,N,,
Plants,Symphytum o?cinale,.,*,.,,
Plants,Syringa vulgaris,13,*,N,,
Plants,Tanacetum parthenium,.,*,N,,
Plants,Tanacetum vulgare,3,*,.,,
Plants,Taraxacum cf. scanicum,.,*,.,,
Plants,Taraxacum Sect. Erythrosperma,3,*,.,,
Plants,Taraxacum Sect. Ruderalia,13,*,.,,
Plants,Taxus baccata,17,*,N,,
Plants,Thuja occidentalis,3,*,N,,
Plants,Tilia cordata,20,*,.,,
Plants,Tilia platyphyllos,3,*,N,,
Plants,Tilia x vulgaris,13,*,N,,
Plants,Tradescantia virginiana,.,*,N,,
Plants,Trifolium arvense,.,*,.,,
Plants,Trifolium campestre,.,*,.,,
Plants,Trifolium dubium,.,*,.,,
Plants,Trifolium medium,.,*,.,,
Plants,Trifolium pratense,3,*,.,,
Plants,Trifolium repens,.,*,.,,
Plants,Tripleurospermum perforatum,.,*,N,,
Plants,Tsuga canadensis,.,*,N,,
Plants,Tulipa gesneriana s. l.,3,*,N,,
Plants,Tussilago farfara,.,*,.,,
Plants,Ulmus glabra s. l.,57,V,.,,
Plants,Ulmus laevis,10,V,.,,
Plants,Ulmus minor,.,V,.,,
Plants,Urtica dioica,27,*,.,,
Plants,Urtica subinermis,.,nr,.,,
Plants,Urtica urens,.,*,.,,
Plants,Verbascum nigrum,.,*,.,,
Plants,Verbascum nigrum x cf. thapsus,.,*,.,,
Plants,Verbascum thapsus,.,*,.,,
Plants,Veronica arvensis,7,*,.,,
Plants,Veronica chamaedrys,10,*,.,,
Plants,Veronica sublobata,10,*,.,,
Plants,Veronica o?cinalis,.,*,.,,
Plants,Veronica serpyllifolia,3,*,.,,
Plants,Viburnum opulus,.,*,.,,
Plants,Vicia angustifolia s. l.,7,*,.,,
Plants,Vicia cracca,3,*,.,,
Plants,Vicia hirsuta,3,*,.,,
Plants,Vinca minor,20,*,N,,
Plants,Viola odorata,7,*,N,,
Plants,Viola riviniana,.,*,.,,
Plants,Viola suavis,7,*,N,,
Plants,Viola x bavarica,3,*,.,,
Plants,Viola x wittrockiana,.,*,N,,
Lichen,Acarospo ramoenium,.,*,,G,
Lichen,Aloxyria ochrocheila,3,nr,,t,
Lichen,Amandinea punctata,7,*,,T,
Lichen,Aspicilia contorta,.,*,,G,
Lichen,Bacidina adastra,3,ne,,T,
Lichen,Bacidina caligans,3,ne,,T,
Lichen,Bacidina chloroticula,3,D,,T,
Lichen,Bacidina neosquamulosa,3,ne,,T,
Lichen,Bacidina spec.,20,ne,,G,
Lichen,Buellia aethalea,10,*,,G,
Lichen,Caloplaca chlorina,67,D,,t,
Lichen,Caloplaca citrina,27,*,,g,
Lichen,Caloplaca crenulatella,10,*,,g,
Lichen,Caloplaca decipiens,.,*,,g,
Lichen,Caloplaca ?avocitrina,30,*,,g,
Lichen,Caloplaca holocarpa,7,*,,g,
Lichen,Caloplaca oasis,7,ne,,g,
Lichen,Candelariella aurella,27,*,,g,
Lichen,Candelariella re?exa,7,*,,t,
Lichen,Candelariella vitellina,10,*,,g,
Lichen,Cladonia chlorophaea,7,*,,t / g,
Lichen,Cladonia coniocraea,23,*,,t,
Lichen,Cladonia ?mbriata,10,*,,t / g,
Lichen,Clauzadea monticola,3,ne,,g,
Lichen,Coenogonium pineti,17,*,,t,
Lichen,Hyperphyscia adglutinata,7,0,,t,
Lichen,Hypocenomyce scalaris,3,*,,t,
Lichen,Hypogymnia physodes,3,*,,g,
Lichen,Lecania cyrtella,7,*,,t,
Lichen,Lecania naegelii,3,D,,t,
Lichen,Lecanora albescens,27,*,,g,
Lichen,Lecanora carpinea,3,D,,t,
Lichen,Lecanora conizaeoides,7,V,,t / g,
Lichen,Lecanora dispersa,43,*,,t / g,
Lichen,Lecanora muralis,17,*,,t / g,
Lichen,Lecanora persimilis,7,ne,,t,
Lichen,Lecanora polytropa,20,*,,g,
Lichen,Lecanora semipallida,3,ne,,g,
Lichen,Lecidea fuscoatra,7,3,,g,
Lichen,Lecidella scabra,.,3,,g,
Lichen,Lecidella stigmatea,50,*,,g,
Lichen,Leimonis erratica,.,G,,g,
Lichen,Lepraria?nkii,70,*,,g,
Lichen,Lepraria incana,80,*,,t,
Lichen,Parmelia sulcata,20,*,,t / g,
Lichen,Phaeophyscia nigricans,27,*,,t / g,
Lichen,Phaeophyscia orbicularis,47,*,,t / g,
Lichen,Phlyctis argena,3,3,,t,
Lichen,Physcia adscendens,20,*,,t / g,
Lichen,Physcia tenella,23,*,,t / g,
Lichen,Placynthiella dasaea,3,D,,t,
Lichen,Placynthiella icmalea,3,*,,t,
Lichen,Porina aenea,60,*,,t,
Lichen,Porpidia soredizodes,.,ne,,g,
Lichen,Pseudevernia furfuracea,3,*,,g,
Lichen,Psilolechia lucida,7,*,,g,
Lichen,Ramalina farinacea,3,3,,t,
Lichen,Sarcogyne regularis,.,*,,g,
Lichen,Scoliciosporum umbrinum,.,*,,g,
Lichen,Stereocaulon vesuvianum,.,G,,g,
Lichen,Trapelia coarctata,7,*,,g,
Lichen,Trapelia obtegens,.,*,,g,
Lichen,Trapelia placodioides,.,*,,g,
Lichen,Verrucaria macrostoma,3,ne,,g,
Lichen,Verrucaria muralis,20,*,,g,
Lichen,Verrucaria nigrescens,37,*,,g,
Lichen,Verrucaria tectorum,3,ne,,g,
Lichen,Vezdaea aestivalis,3,ne,,g,
Lichen,Vulpicida pinastri,3,3,,t,
Lichen,Xanthoria candelaria,3,*,,t,
Lichen,Xanthoria parietina,13,*,,t / g,
Lichen,Xanthoria polycarpa,10,*,,t,
Bryophytes,Amblystegium serpens,67,*,,,
Bryophytes,Barbula unguiculata,3,*,,,
Bryophytes,Brachythecium albicans,3,*,,,
Bryophytes,Brachythecium rutabulum,80,*,,,
Bryophytes,Brachythecium salebrosum,3,*,,,
Bryophytes,Brachythecium populeum,3,3,,,
Bryophytes,Brachythecium velutinum,13,*,,,
Bryophytes,Bryoerythrophyllum recurvirostrum,10,*,,,
Bryophytes,Bryum argenteum,10,*,,,
Bryophytes,Bryum capillare,67,*,,,
Bryophytes,Ceratodon purpureus,30,*,,,
Bryophytes,Didymodon rigidulus,27,*,,,
Bryophytes,Eurhynchium hians,23,*,,,
Bryophytes,Grimmia pulvinata,40,*,,,
Bryophytes,Homalothecium sericeum,3,2,,,
Bryophytes,Hypnum cupressiforme,33,*,,,
Bryophytes,Hypnum lacunosum,7,*,,,
