Taxa,Genus,Species,Site,Estimate,Stat,Value,year,height,area
Plants,,,Europe,Shannon-Weaver diversity,mean,1.41,1996,15,400
Plants,,,Les Huttins,Shannon-Weaver diversity,mean,1.97,2007,5,400
Plants,,,ZÅrich assurance,Shannon-Weaver diversity,mean,1.56,1973,5,400
Plants,,,HEAD,Shannon-Weaver diversity,mean,1.95,2010,15,400
Plants,,,L?Horlogerie,Shannon-Weaver diversity,mean,2.1,1982,5,400
Plants,,,Les Pommiers,Shannon-Weaver diversity,mean,2.18,2012,15,400
Plants,,,HUG,Shannon-Weaver diversity,mean,1.84,1993,15,400
Plants,,,Pavillon de l?enfance,Abundance,mean,10,2011,5,400
Plants,,,La Praille,Abundance,mean,5,2002,15,400
Plants,,,La Seymaz,Abundance,mean,12,2007,15,400
Plants,,,Europe,Abundance,mean,29,1996,15,400
Plants,,,Les Huttins,Abundance,mean,11,2007,5,400
Plants,,,ZÅrich assurance,Abundance,mean,28,1973,5,400
Plants,,,HEAD,Abundance,mean,18,2010,15,400
Plants,,,L?Horlogerie,Abundance,mean,34,1982,5,400
Plants,,,Les Pommiers,Abundance,mean,33,2012,15,400
Plants,,,HUG,Abundance,mean,63,1993,15,400
Plants,,,Pavillon de l?enfance,Richness,mean,44,2011,5,400
Plants,,,La Praille,Richness,mean,21,2002,15,400
Plants,,,La Seymaz,Richness,mean,33,2007,15,400
Plants,,,Europe,Richness,mean,48,1996,15,400
Plants,,,Les Huttins,Richness,mean,42,2007,5,400
Plants,,,ZÅrich assurance,Richness,mean,29,1973,5,400
Plants,,,HEAD,Richness,mean,47,2010,15,400
Plants,,,L?Horlogerie,Richness,mean,48,1982,5,400
Plants,,,Les Pommiers,Richness,mean,64,2012,15,400
Plants,,,HUG,Richness,mean,37,1993,15,400
